gid|name|ecartement|orientatio|superficie|prefixe
15|F0001SY2014A|211.000000000000000|-5.000000000000000|17472.000000000000000|M
30|F0001PR2016|200.000000000000000|12.000000000000000|101319.000000000000000|M
31|F0001PR2018|162.000000000000000|26.000000000000000|25473.000000000000000|M
1494|F0001NG36A|207.000000000000000|-78.000000000000000|12796.000000000000000|M
1495|F0001PR2014|211.000000000000000|-5.000000000000000|36066.000000000000000|M
1508|F0001NG35|210.000000000000000|-14.000000000000000|7071.000000000000000|M
1509|F0001NG37A|211.000000000000000|61.000000000000000|13761.000000000000000|M
1510|F0001CF52|211.000000000000000|-79.000000000000000|23873.000000000000000|M
1512|F0001CI61|209.000000000000000|86.000000000000000|28694.000000000000000|M
1513|F0001CO21|211.000000000000000|-4.000000000000000|30591.000000000000000|M
1514|F0001CO22|211.000000000000000|-4.000000000000000|29033.000000000000000|M
1516|F0001CO24|211.000000000000000|84.000000000000000|24110.000000000000000|M
1517|F0001GA01|210.000000000000000|3.000000000000000|36186.000000000000000|M
1518|F0001GA02|210.000000000000000|-14.000000000000000|10940.000000000000000|M
1519|F0001GA03|211.000000000000000|4.000000000000000|9596.000000000000000|M
1520|F0001GA06|210.000000000000000|-63.000000000000000|21126.000000000000000|M
1521|F0001GA06A|210.000000000000000|-68.000000000000000|9141.000000000000000|M
1522|F0001GA05|211.000000000000000|9.000000000000000|37209.000000000000000|M
1523|F0001JU71|213.000000000000000|-79.000000000000000|9378.000000000000000|M
1524|F0001NG31|212.000000000000000|-80.000000000000000|6731.000000000000000|M
1526|F0001NG34|211.000000000000000|4.000000000000000|32538.000000000000000|M
1527|F0001NG33|212.000000000000000|3.000000000000000|33058.000000000000000|M
1528|F0001NG36|211.000000000000000|-78.000000000000000|32454.000000000000000|M
1529|F0001NG37|211.000000000000000|61.000000000000000|19151.000000000000000|M
1530|F0001NG38|220.000000000000000|-68.000000000000000|13671.000000000000000|M
1531|F0001NG39|221.000000000000000|25.000000000000000|98517.000000000000000|M
1532|F0001SE81|210.000000000000000|4.000000000000000|9585.000000000000000|M
1533|F0001SY11A|211.000000000000000|-77.000000000000000|11007.000000000000000|M
1534|F0001SY11|221.000000000000000|-68.000000000000000|15702.000000000000000|M
1535|F0001GA04|300.000000000000000|-68.000000000000000|24531.000000000000000|M
1536|F0001SY13|152.000000000000000|-79.000000000000000|29263.000000000000000|M
1537|F0001SY12A|195.000000000000000|24.000000000000000|4720.000000000000000|M
1538|F0001SY12|271.000000000000000|25.000000000000000|17124.000000000000000|M
14|F0001PR2015|211.000000000000000|-5.000000000000000|43840.000000000000000|M
1539|F0001SY2014B|155.000000000000000|24.000000000000000|6462.000000000000000|M
1555|F0001SY2014C|220.000000000000000|-5.000000000000000|20651.000000000000000|M
1511|F0001CF51|211.000000000000000|86.000000000000000|6621.000000000000000|M
1515|F0001CO23|211.000000000000000|86.000000000000000|10173.000000000000000|M
1525|F0001NG32|210.000000000000000|86.000000000000000|20175.000000000000000|M
